iter	RMSE
0	0.3920126211
1	0.3813039566
2	0.3710288909
3	0.3608911858
4	0.3520888168
5	0.3434079347
6	0.334523782
7	0.3254989752
8	0.317537
9	0.3099237376
10	0.3024105598
11	0.2951786929
12	0.288302237
13	0.2814559511
14	0.2749225329
15	0.2687886543
16	0.2633114757
17	0.2576035961
18	0.2519634969
19	0.2466303398
20	0.2414467705
21	0.2366665621
22	0.2322921633
23	0.2276858088
24	0.2238856928
25	0.21952753
26	0.2158468653
27	0.2118176721
28	0.2085798586
29	0.2052805178
30	0.2020034536
31	0.1986757223
32	0.1961612523
33	0.1929317868
34	0.1898453216
35	0.1873008798
36	0.1848492055
37	0.182507593
38	0.1801582752
39	0.1780310726
40	0.1759184851
41	0.1737086
42	0.1717773036
43	0.1697276855
44	0.1679307499
45	0.166187865
46	0.1645286763
47	0.162723599
48	0.1611847713
49	0.1593817308
50	0.1580402352
51	0.1564366763
52	0.1550680302
53	0.153765203
54	0.1525504789
55	0.1512870929
56	0.1499397083
57	0.1488098397
58	0.1476260018
59	0.1466942482
60	0.1456322646
61	0.1445873479
62	0.1437799645
63	0.1429228641
64	0.1420799171
65	0.1413327285
66	0.1403669807
67	0.1395649555
68	0.1386785282
69	0.1380433995
70	0.1372405386
71	0.1363904033
72	0.1356332602
73	0.1348925292
74	0.1343202601
75	0.1336078933
76	0.1329110971
77	0.1322610297
78	0.1316805655
79	0.1310520673
80	0.1304624093
81	0.1298634396
82	0.1291607518
83	0.1287059136
84	0.1282349871
85	0.1276496074
86	0.1271568279
87	0.1265923196
88	0.1261364372
89	0.1256264869
90	0.1251445556
91	0.1247039772
92	0.1243206546
93	0.123955832
94	0.1235781166
95	0.1232468241
96	0.12276947
97	0.1223597379
98	0.1220911382
99	0.1217256631
100	0.1212263129
101	0.1208224496
102	0.1204328699
103	0.1201378391
104	0.1197006423
105	0.119452213
106	0.1191162657
107	0.1187739924
108	0.1185347297
109	0.1181636937
110	0.1177268769
111	0.1174087529
112	0.1171284884
113	0.1168788654
114	0.1165169626
115	0.1162025464
116	0.1159092218
117	0.1156776515
118	0.1152621127
119	0.114981677
120	0.1147175429
121	0.1143649199
122	0.1140704083
123	0.1137382376
124	0.1133805943
125	0.113230848
126	0.1130027717
127	0.1127301192
128	0.1124397094
129	0.1122910033
130	0.1120501142
131	0.1118534452
132	0.1116695462
133	0.1114326624
134	0.1112230272
135	0.1109695102
136	0.1106304168
137	0.1103500275
138	0.1102468551
139	0.1100537272
140	0.1098620477
141	0.109557075
142	0.109309802
143	0.1090365223
144	0.1088161152
145	0.1087371084
146	0.1084478144
147	0.1082670208
148	0.1080494422
149	0.1078191283
150	0.1075701221
151	0.1074154339
152	0.1071357978
153	0.1069415763
154	0.1067929521
155	0.1065844535
156	0.106417122
157	0.1061068389
158	0.1058976515
159	0.1056496727
160	0.1054234744
161	0.1052409862
162	0.1049923242
163	0.1047140139
164	0.104630077
165	0.104383963
166	0.1042600174
167	0.1040951954
168	0.1038776709
169	0.1036839097
170	0.10338914
171	0.1031805865
172	0.103098234
173	0.1029881124
174	0.1028472391
175	0.1025048771
176	0.1022897294
177	0.1021230486
178	0.1019864856
179	0.1018911255
180	0.101720232
181	0.1015552498
182	0.101295915
183	0.1010521097
184	0.1008299568
185	0.100655546
186	0.100540679
187	0.1002755417
188	0.1000902146
189	0.09987030233
190	0.09966035483
191	0.09944435331
192	0.09933472666
193	0.09922123763
194	0.09909058246
195	0.09895070902
196	0.09888321329
197	0.09872148026
198	0.09862792902
199	0.09839186663
200	0.09824809617
201	0.09814011421
202	0.09802339898
203	0.09786631612
204	0.0977113944
205	0.09761991959
206	0.09752603796
207	0.09744081638
208	0.09735103228
209	0.09712892732
210	0.0968697159
211	0.09683734664
212	0.09659045361
213	0.09646291587
214	0.09630009695
215	0.09615794852
216	0.09584043738
217	0.09557272364
218	0.09547934598
219	0.09529924224
220	0.09525137798
221	0.09508944057
222	0.0948280334
223	0.09472014117
224	0.09456746303
225	0.09434655465
226	0.09408763996
227	0.09387559213
228	0.09384129311
229	0.09369310971
230	0.09358879679
231	0.09335538383
232	0.09330749001
233	0.09309184778
234	0.09306651052
235	0.09291729926
236	0.09268095679
237	0.09261779649
238	0.09246761786
239	0.09232932156
240	0.09228850048
241	0.09211759418
242	0.09206114712
243	0.0918769913
244	0.0918328844
245	0.09177688864
246	0.09174805903
247	0.09171775137
248	0.09153765953
249	0.09131682573
250	0.09114467367
251	0.09105803707
252	0.09101407354
253	0.09077970243
254	0.09072953063
255	0.09066010452
256	0.09061054578
257	0.09046837834
258	0.09035120966
259	0.09026027474
260	0.09013585648
261	0.08994009379
262	0.08992424346
263	0.08986287519
264	0.0897243379
265	0.08963976429
266	0.08950501649
267	0.08933795644
268	0.08921608142
269	0.0891680752
270	0.08903940251
271	0.08892736899
272	0.08887742646
273	0.0888675267
274	0.08878950432
275	0.0886313837
276	0.08852661678
277	0.08843305739
278	0.08828875267
279	0.08818170143
280	0.08809218133
281	0.08790911158
282	0.08776180634
283	0.08760002749
284	0.08748742051
285	0.08742683764
286	0.0873410794
287	0.08717855374
288	0.0871444304
289	0.08698509054
290	0.08687082218
291	0.08684166414
292	0.08673887827
293	0.0866491669
294	0.08662608825
295	0.08659913901
296	0.08655098907
297	0.08652364203
298	0.08645670965
299	0.08630529944
300	0.08623827261
301	0.08611018242
302	0.08601165213
303	0.08600162892
304	0.08595291347
305	0.08591964647
306	0.08577005347
307	0.08557090539
